praeparat_name,indikation,wirkstoff,darreichungsform,dosierung,anwendung,hinweise
ASS 500 mg ratiopharm,Schmerzen/Fieber,Acetylsalicylsäure,Tablette,max. 3× täglich; mind. 4 h Abstand,mit reichlich Flüssigkeit einnehmen; nicht nüchtern,nicht länger als 3–4 Tage anwenden 
Aspirin plus C,Schmerzen/Fieber,Acetylsalicylsäure + Ascorbinsäure,Brausetablette,1–2 Tbl bis 3× täglich; mind. 4 h Abstand,in Wasser auflösen und trinken,nicht länger als 4 Tage anwenden
Neuralgin extra,Schmerzen/Fieber,Ibuprofen-Lysinat,Tablette,½–1 Tbl bis 3× täglich; mind. 6 h Abstand,mit Flüssigkeit zu/ nach Mahlzeit,nicht länger als 4 Tage anwenden
Paracetamol Hexal 500 mg,Schmerzen/Fieber,Paracetamol,Tablette,1–2 Tbl bis 4× täglich; mind. 6 h Abstand,mit Flüssigkeit; unabhängig von Mahlzeit,nicht länger als 3 Tage anwenden
Lemocin,Halsschmerzen,Tyrothricin + Cetrimoniumbromid + Lidocain,Lutschtablette,alle 1–3 h; max. 8/Tag,"langsam lutschen, nicht schlucken",max. 2 Tage ohne Arzt
Mucoangin,Halsschmerzen,Ambroxol,Lutschtablette,max. 6/Tag,langsam lutschen,nicht länger als 3 Tage anwenden
ACC akut 600,Husten,Acetylcystein,Brausetablette,1× täglich,in Wasser lösen; morgens nach Mahlzeit,nicht länger als 5 Tage anwenden
Mucosolvan Hustensaft,Husten,Ambroxol,Saft,3×5 ml für 2–3 Tage; dann 2×5 ml,mit Dosierhilfe,nicht länger als 5 Tage anwenden
GeloMyrtol forte,Husten,Eukalyptusöl + Apfelsinenschalenöl + Myrthenöl + Zitronenöl,Kapsel,3–4× täglich 1 Kapsel,30 min vor dem Essen mit kalter Flüssigkeit,letzte Dosis vor dem Schlafen möglich
Nasic Nasenspray,Schnupfen,Xylometazolin + Dexpanthenol,Nasenspray,je 1 Sprühstoß bis 3× täglich,leicht durch die Nase einatmen,nicht länger als 1 Woche anwenden